sample_id,price
100179,11.705326
245611,14.052822
146263,24.0757
95658,10.851784
36806,20.918552
148239,7.5814786
92659,6.445685
3780,10.205687
196940,10.17585
20472,6.4996533
121721,15.901902
127336,4.318809
20801,47.515907
30103,7.389783
68691,18.378769
230703,13.72944
3342,24.190205
115635,17.567593
221565,6.0733595
265927,12.655643
290421,11.661744
222203,10.148676
40595,12.219133
157931,13.216988
41814,13.503428
250478,11.915459
130232,5.9170823
155825,13.503428
42104,13.503428
148748,52.183994
247548,21.59513
262167,19.763264
100183,11.544061
168985,13.404601
18411,63.69454
111287,15.274814
156813,7.806513
194861,6.832574
104298,17.251783
59033,14.784601
31133,12.611827
299318,6.2606645
255038,11.280042
220578,14.512491
38995,12.211493
253068,10.398488
282143,16.330584
226531,16.474106
233215,34.268127
33295,7.598719
198185,36.93077
238324,2.6101084
121672,12.079697
21434,12.25452
61747,15.683158
270417,18.737701
105202,16.431356
202880,23.964735
79564,14.075751
251317,16.568378
205434,11.565357
15315,12.129765
276163,11.304921
245021,22.770676
25664,16.205275
90451,8.002434
5215,15.645367
68223,20.496536
135447,19.30608
58777,15.503271
73979,24.659714
173699,10.148676
201120,15.352946
64448,12.804936
243239,24.481567
280496,15.295563
293812,11.012939
35203,5.0109034
31858,26.229502
162188,6.2162685
193450,13.71608
34991,13.118311
232133,13.30798
294874,2.957634
160416,14.242564
104466,15.759175
284624,5.7916036
19742,50.571716
87611,18.885815
227957,69.40793
68427,14.065119
204601,14.414986
107223,11.467068
237588,19.01372
1313,5.48978
196900,11.065023
22107,14.331187
73030,15.073062
181909,23.19057
23045,11.605397
142744,91.5771
169122,15.170569
239815,17.46436
41952,12.601715
227911,7.1960707
31484,9.269958
252567,7.925198
225977,14.152826
48243,19.176956
201046,25.351856
161001,36.38088
292827,37.12195
159584,7.971603
281316,11.277372
224188,5.959264
281823,17.447365
214851,17.749983
67570,17.184736
102740,19.095715
11978,22.024162
289925,10.368742
40458,12.3249
278700,16.677143
38662,13.07563
99886,10.625002
